"NOMBRE_EST","NIVMOD","NIVELMODAL","TIPEST","COMUNA","ESTADO","POINT_X","POINT_Y","nivel","long","lat","niv","num_niv","geometry"
"Jardín Materno Infantil Din Di Lat","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",4,"1",108174.0198,100037.6419,"Otros Servicios Educativos de la modalidad Común",-58.3741595679964,-34.6288985725403,"Otros",1,c(-58.3741595679964, -34.6288985725403)
"Centro Educativo Complementario de Idiomas Extranjeros N° 03","OSECom","Otros Servicios Educativos de la modalidad Común","Centro Educativo Complementario de Idioma Extranjero",1,"1",106969.0197,100734.5026,"Otros Servicios Educativos de la modalidad Común",-58.3873061475628,-34.6226256333583,"Otros",1,c(-58.3873061475628, -34.6226256333583)
"Inst. de Educación Especial y Formacion Laboral Ntra. Sra. de Luján","IniEsp - PriEsp - OSEEsp","Nivel Inicial y Primario Especial - Otros Servicios Educativos de la modalidad Especial","Instituto Educativo Incorporado a la Enseñanza Oficial",5,"1",103950.9856,100521.813,"Inicial y Primario Especial - Otros Servicios Educativos de la modalidad Especial",-58.4202153030009,-34.6245588018547,"Inicial a Primario",2,c(-58.4202153030009, -34.6245588018547)
"Mundo Ecológico","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",6,"1",102527.7838,100511.8078,"Inicial Común",-58.4357349325703,-34.6246534106454,"Inicial",1,c(-58.4357349325703, -34.6246534106454)
"Esc. Infantil Especial N° 27 Dra. Lidia F. de Coriat - Gabinete Materno Infantil DE18","IniEsp","Nivel Inicial Especial","Escuela de Educación Especial",10,"1",97010.2703,101318.9076,"Inicial Especial",-58.4958992124918,-34.6173763539687,"Inicial",1,c(-58.4958992124918, -34.6173763539687)
"Inst. Ntra. Sra. del Carmen","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",12,"1",99116.1864,107415.1426,"Inicial, Primario y Secundario Común",-58.4729299636529,-34.5624262669367,"Inicial a Secundario",3,c(-58.4729299636529, -34.5624262669367)
"Inst. de Educación Especial Essere","IniEsp - PriEsp - OSEEsp","Nivel Inicial y Primario Especial - Otros Servicios Educativos de la modalidad Especial","Instituto Educativo Incorporado a la Enseñanza Oficial",5,"1",104202.8295,101295.088,"Inicial y Primario Especial - Otros Servicios Educativos de la modalidad Especial",-58.4174727905545,-34.6175872072267,"Inicial a Primario",2,c(-58.4174727905545, -34.6175872072267)
"Centro de Formación Profesional N° 16 (anexo) - SGBATOS","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional",7,"1",101261.0305,97906.8065,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.4495448697896,-34.6481381435744,"Otros",1,c(-58.4495448697896, -34.6481381435744)
"Esc. Primaria Común N° 18 San Juan Bautista de La Salle","PriCom","Nivel Primario Común","Escuela de Jornada Simple",8,"1",101764.9372,95947.2872,"Primario Común",-58.444044380041,-34.6658012105819,"Primario",1,c(-58.444044380041, -34.6658012105819)
"Inst. San Vicente de Paul","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",4,"1",104893.0672,99838.61,"Inicial, Primario y Secundario Común",-58.4099382430546,-34.6307134464777,"Inicial a Secundario",3,c(-58.4099382430546, -34.6307134464777)
"Jardín de Infantes Nucleado B (EPCjc 02/11°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",10,"1",97967.1624,99267.914,"Inicial Común",-58.485470492802,-34.6358672035917,"Inicial",1,c(-58.485470492802, -34.6358672035917)
"Inst. Sta. Teresa de los Andes","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",15,"1",100843.943,105264.5871,"Inicial y Primario Común",-58.4541012345847,-34.5818125137119,"Inicial a Primario",2,c(-58.4541012345847, -34.5818125137119)
"Inst. Arzruni","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",7,"1",100284.7179,98035.8446,"Inicial, Primario y Secundario Común",-58.4601943638455,-34.6469756315393,"Inicial a Secundario",3,c(-58.4601943638455, -34.6469756315393)
"Esc. Primaria Común N° 22 Martina Silva de Gurruchaga","PriCom","Nivel Primario Común","Escuela de Jornada Simple",5,"1",104268.0913,100980.6105,"Primario Común",-58.4167596246065,-34.6204217670507,"Primario",1,c(-58.4167596246065, -34.6204217670507)
"Esc. Primaria p/Adultos N° 23 Dr. José María Bustillo","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",14,"1",102735.7058,104374.5982,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4334797935312,-34.5898320799078,"Primario",1,c(-58.4334797935312, -34.5898320799078)
"Inst. Virgen del Valle","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",101737.3404,105913.9954,"Inicial, Primario y Secundario Común",-58.4443652349214,-34.5759573735211,"Inicial a Secundario",3,c(-58.4443652349214, -34.5759573735211)
"Esc. Primaria p/Adultos N° 16 Cap. de Fragata Carlos María Moyano","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",13,"1",101066.3966,106519.6192,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4516781694929,-34.5704988755318,"Primario",1,c(-58.4516781694929, -34.5704988755318)
"Jardín de Infantes Nucleado C (EPCjc 15/18°) [Sede]","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",10,"1",97279.2253,100393.9173,"Inicial Común",-58.4929696057021,-34.6257153466351,"Inicial",1,c(-58.4929696057021, -34.6257153466351)
"Colegio Argentino Arabe","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",3,"1",105069.153,100645.3608,"Inicial, Primario y Secundario Común",-58.4080227012409,-34.6234402375611,"Inicial a Secundario",3,c(-58.4080227012409, -34.6234402375611)
"Inst. Vocacional de Arte","IniCom - OSECom","Nivel Inicial Común - Otros Servicios Educativos de la modalidad Común","No Corresponde - Cultura",7,"1",101503.4792,99350.5938,"Inicial Común - Otros Servicios Educativos de la modalidad Común",-58.4469027471385,-34.6351229991974,"Inicial",1,c(-58.4469027471385, -34.6351229991974)
"Escuela Infantil N° 05/13°","IniCom","Nivel Inicial Común","Escuela Infantil",8,"1",99013.1783,96167.3969,"Inicial Común",-58.4740662164482,-34.6638179656809,"Inicial",1,c(-58.4740662164482, -34.6638179656809)
"Servicio de Educación a Distancia  del Ejército (SEADE)","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","No Corresponde - Gob Nac",14,"1",102473.6485,106102.0809,"Inicial, Primario y Secundario Común",-58.4363411901697,-34.5742604140177,"Inicial a Secundario",3,c(-58.4363411901697, -34.5742604140177)
"Jardín de Infantes Nucleado B (EPCjc 11/16°) Juana Azurduy","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",15,"1",96986.3865,104073.8461,"Inicial Común",-58.4961496771668,-34.5925421065022,"Inicial",1,c(-58.4961496771668, -34.5925421065022)
"Centro de Actividades Infantiles y Juveniles Club San Telmo","OSECom","Otros Servicios Educativos de la modalidad Común","Centro de Actividades Infantiles y Juveniles",1,"1",108313.3531,100729.5449,"Otros Servicios Educativos de la modalidad Común",-58.3726468345146,-34.6226603829351,"Otros",1,c(-58.3726468345146, -34.6226603829351)
"Centro Educativo de Nivel Primario N° 55 - CeSAC N° 05","PriAdu","Nivel Primario de Jóvenes y Adultos","Centro Educativo de Nivel Primario",8,"1",97137.0175,95369.0374,"Primario de Jóvenes y Adultos",-58.4945376789785,-34.6710110144759,"Primario",1,c(-58.4945376789785, -34.6710110144759)
"Centro de Formación Profesional - UPACP (Unión Personal Auxiliar de Casas Particulares)","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional (Privado)",2,"1",105379.6047,103816.5137,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.4046572468221,-34.5948525943562,"Otros",1,c(-58.4046572468221, -34.5948525943562)
"Centro de Actividades Infantiles y Juveniles sede","OSECom","Otros Servicios Educativos de la modalidad Común","Centro de Actividades Infantiles y Juveniles",1,"1",108225.9687,102123.6842,"Otros Servicios Educativos de la modalidad Común",-58.37361314493,-34.6100937602802,"Otros",1,c(-58.37361314493, -34.6100937602802)
"Esc. Primaria Común N° 01 Museo de Bellas Artes Gral. Urquiza","PriCom","Nivel Primario Común","Escuela de Jornada Completa",7,"1",100060.043,100186.034,"Primario Común",-58.4626450597042,-34.6275930436266,"Primario",1,c(-58.4626450597042, -34.6275930436266)
"Centro Educativo de Nivel Secundario N° 81","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",13,"1",99362.5107,108313.6501,"Secundario de Jóvenes y Adultos",-58.4702451262717,-34.5543268739956,"Secundario",1,c(-58.4702451262717, -34.5543268739956)
"Centro Educativo de Nivel Secundario N° 14","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",8,"1",99891.3156,93841.2099,"Secundario de Jóvenes y Adultos",-58.4644862836374,-34.6847874769808,"Secundario",1,c(-58.4644862836374, -34.6847874769808)
"Colegio Uriarte","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",15,"1",102432.0239,104299.2081,"Inicial y Primario Común",-58.4367897792506,-34.590512427409,"Inicial a Primario",2,c(-58.4367897792506, -34.590512427409)
"Inst. Monseñor Sabelli","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",6,"1",101660.1375,100670.727,"Inicial y Primario Común",-58.4451967103265,-34.6232225748937,"Inicial a Primario",2,c(-58.4451967103265, -34.6232225748937)
"Jardín Materno Infantil El Libro Mágico","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",3,"1",106385.2251,101937.7979,"Otros Servicios Educativos de la modalidad Común",-58.3936811091022,-34.6117824188179,"Otros",1,c(-58.3936811091022, -34.6117824188179)
"Escuela Infantil N° 04/17°","IniCom","Nivel Inicial Común","Escuela Infantil",10,"1",94132.2083,100928.9992,"Inicial Común",-58.5272837667437,-34.6208785662411,"Inicial",1,c(-58.5272837667437, -34.6208785662411)
"Escuela Infantil Virreyes","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",13,"1",100953.6249,106835.2097,"Otros Servicios Educativos de la modalidad Común",-58.4529074538276,-34.5676540973925,"Otros",1,c(-58.4529074538276, -34.5676540973925)
"Esc. Primaria Común N° 04 Provincia de Buenos Aires","PriCom","Nivel Primario Común","Escuela de Jornada Simple",12,"1",98088.4648,106532.744,"Primario Común",-58.4841307110103,-34.5703791787537,"Primario",1,c(-58.4841307110103, -34.5703791787537)
"Jardín de Infantes Nucleado A (EPCjs 03/05°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",4,"1",108023.9439,99499.4864,"Inicial Común",-58.375791132606,-34.6337508842123,"Inicial",1,c(-58.375791132606, -34.6337508842123)
"Esc. Primaria p/Adultos N° 08 Judith y Demetrio Demarchi","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",8,"1",98402.9627,94747.9983,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4807263739024,-34.6766120847664,"Primario",1,c(-58.4807263739024, -34.6766120847664)
"Inst. Guillermo Rawson","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",6,"1",102931.0577,101485.5125,"Inicial, Primario y Secundario Común",-58.4313406284786,-34.6158749967192,"Inicial a Secundario",3,c(-58.4313406284786, -34.6158749967192)
"Jardín de Infantes Nucleado A (EPCjs 10/17°) Alicia Moreau de Justo) [Sede]","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",11,"1",97662.3052,102501.8534,"Inicial Común",-58.4887862119342,-34.6067145214627,"Inicial",1,c(-58.4887862119342, -34.6067145214627)
"Esc. Primaria Común N° 24 Sara de Elia de Giménez","PriCom","Nivel Primario Común","Escuela de Jornada Completa",9,"1",97509.1242,98109.9595,"Primario Común",-58.4904694419162,-34.6463043970391,"Primario",1,c(-58.4904694419162, -34.6463043970391)
"ESEA en Danza Ramicone Curso Vocacional de Folklore N° 03","OSECom","Otros Servicios Educativos de la modalidad Común","Escuela Superior de Educación Artística",1,"1",107932.7177,101293.0767,"Otros Servicios Educativos de la modalidad Común",-58.3768027034259,-34.6175834808653,"Otros",1,c(-58.3768027034259, -34.6175834808653)
"Jardín de Infantes Nucleado D (EPCjc 01/13°) [Sede]","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",10,"1",96650.1735,98819.9795,"Inicial Común",-58.4998356750924,-34.6399015245466,"Inicial",1,c(-58.4998356750924, -34.6399015245466)
"Del Jacarandá","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",100142.5324,108877.1085,"Inicial y Primario Común",-58.4617463960758,-34.5492478068342,"Inicial a Primario",2,c(-58.4617463960758, -34.5492478068342)
"UGEE Nº 16 Bachillerato Popular de Adultos y Adolescentes Mocha Celis","SecAdu","Nivel Secundario de Jóvenes y Adultos","Unidad de Gestión Educativa Experimental",15,"1",100742.3297,104751.673,"Secundario de Jóvenes y Adultos",-58.4552083197654,-34.586436227059,"Secundario",1,c(-58.4552083197654, -34.586436227059)
"Inst. Maestría","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",100297.4284,107338.3513,"Inicial y Primario Común",-58.4600583785795,-34.5631189010076,"Inicial a Primario",2,c(-58.4600583785795, -34.5631189010076)
"Bachillerato Popular de Jóvenes y Adultos La Pulpería","SecAdu","Nivel Secundario de Jóvenes y Adultos","Bachillerato Popular de Jóvenes y Adultos",4,"1",109668.8615,99391.3533,"Secundario de Jóvenes y Adultos",-58.3578505375448,-34.6347115333084,"Secundario",1,c(-58.3578505375448, -34.6347115333084)
"Esc. Primaria Común N° 22 Antonio Abraham Zinny","PriCom","Nivel Primario Común","Escuela de Jornada Completa",7,"1",102652.0729,99667.7082,"Primario Común",-58.4343770038409,-34.632262143958,"Primario",1,c(-58.4343770038409, -34.632262143958)
"Jardín de Infantes Nucleado A (EPCjc 20/11°) [Sede] Baldomero Fernández Moreno","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",9,"1",99457.0848,98224.8751,"Inicial Común",-58.469221791697,-34.6452714935435,"Inicial",1,c(-58.469221791697, -34.6452714935435)
